M539,留仙洞地铁站
M303,尚景地铁站
高峰专线119,岗厦北地铁站①
M239,丹竹头地铁站
M429,西丽社区①(往南)
M589,木古地铁站
M198,平吉大道辅岐路口
28,岗边村①
高峰专向8,坪山电子城①
M131,坪洲地铁站
M398,翰岭地铁站
M102,岗厦村
M360,阳光天健城
34,莲花中学
337,岗边村①
621,坂田石化新村
M378,灵芝公园北
317,新洲村
M463,红岭南路1
108,东海实验小学
高峰专线119,群星广场始发站1
M317,摩尔城
226,西丽社区②(往北)
莞深001线,松岗地铁站
N08,西丽社区②(往南)
M589,黄阁坑地铁站
22,南山村
37,南山书城地铁站②
P207,通新岭地铁站
M190,岗厦北地铁站①
61,布吉中学
M363,大芬地铁站2
M222,翰岭地铁站
M482,东门④
11,景新花园②
M566,坂田石化新村
322,木棉湾地铁站1
M360,大运地铁接驳站1
E15,楼村
M547,石芽岭地铁站①
58,桃源村
M579,深圳北站东广场
高峰专线29,福华新村
E3,南航公司
E34,爱联地铁站
高峰专线36,红花岭站(西行)
M203,桃源村东
963,坪山大道龙坪路口
M320,石湖龙居民小组站
高峰专线221,岗头地铁站
M300,富豪花园
M103,福华新村
N4,招商银行大厦②
358,北山工业区
M520,海滨浴场
M492,西丽社区①(往南)
M398,沙元埔
216,妇幼保健院红荔院区（注红荔路）
M296,坪山广场地铁站
M347,前海兴海路口
M219,双龙地铁站②③
85,深圳东站西广场
376,木棉湾地铁站1
866,洪浪北地铁站
M272,象角塘西
B662区间线,沙头角地铁站C口（招呼车）
E6,南联地铁站
M454,莲花中学
980,深圳东站西广场
M486,海滨实验小学
M386,陂头背新村
69,东门⑤
M401,鹿丹村站
M379,宝安中心站②
M103,福民新村站
201,桃源村
E39,高科技中心
M180,大芬地铁站2
M474,龙井地铁站
334,华为单身公寓北
M541,深圳东站西广场
高峰专线185,黄阁坑地铁站
822,百鸽笼公交接驳站
K105,群星广场始发站1
M318,双拥街地铁站
21,侨城东地铁站
M165,体育馆①
M476,草埔地铁站
M241,南山派出所
高峰专线221,岗厦北地铁站②
316,购物公园地铁站
M123,坂田北地铁站
22,南山妇幼保健院
M569,东升学校
M194,购物公园地铁站
高峰150,塘朗地铁站
M209,科苑地铁站
M527Q1,固戍地铁站
高快巴士51,上屋地铁站
M386,尚景欣园
122,海上世界
M526,莲塘口岸①
m105,莲花山西①
M140,腾邦大厦
E23,爱联地铁站
高峰专线8,坪山中心公园
B821,上梅林公交总站
M222,福田党校①
M562,协和深圳医院东
81,南山党校
215,市公安局①
371,笋岗街道办
307,布吉中学
M403,金光华广场
90,白石洲①
M459,新彩隧道口
高快巴士31,深南香蜜立交①
高峰专线34,广中医深圳医院
M479,东纵纪念馆站
M572,象角塘西
104,深圳书城
66,白石洲③
M207,中级法院
M567,坂田北地铁站
高峰换线19,木棉湾地铁站1
M401,罗湖小学②
M382,新安交警中队
629,诺铂广场
高峰专线150,大冲①
339,万科城
17,湖贝中路
高快巴士41,坂田北地铁站
215,罗湖小学②
339,深大地铁站
956,西环吉华路口
N3,门诊部1西行方向
高快巴士899,广中医深圳医院
802,盛平地铁站
215,上沙村
大亚湾268B,沙田地铁站
313,莲花中学
629大站快车,黄田2
B916,四联地铁站
326,桃源村东
E34,坪山大道龙坪路口
E22,坂田地铁站
M324,中海大山地站
M472,福围
M279,坪山税务局
316,华强职校
M299,高科技中心
339,高科技中心
357,田贝②
M379,红山地铁站
M345,西丽社区①(往南)
M383,市总工会
615,诺铂广场
M220,龙城广场地铁站②
M500,农林地铁站
M356,中大地铁站
高峰专线128,软件产业基地
M370,沙尾
34,丰泽湖山庄总站
M23,田贝②
811,南联地铁站
