线路编号, 上行途径站点, 下行途径站点
1,布心总站、布心小学、彩世界家园、水库、泰宁小学、百仕达东郡、百仕达花园、五方广场、田贝四路、田贝新村、洪湖沃尔玛、深圳中学、晒布路、东门③、金城大厦②、金光华广场、罗湖小学②、人民南地铁站、火车站,火车站、人民南地铁站、罗湖小学②、国贸、东门③、东门中①、儿童公园①、洪湖沃尔玛、田贝新村、田贝四路、五方广场、百仕达花园、百仕达东郡、水库、布心总站
2,草埔地铁站总站、草埔地铁站⑧、草埔村口、绿景山庄、华港新村、理想新城、戒毒所、布心山庄、金稻田路口、东昌北、金威啤酒街、松泉公寓、翠竹大厦、田贝地铁站、康宁医院、翠竹万家、翠竹苑、螺岭、罗湖区委、京鹏大厦、湖贝地铁站、金城大厦②、丽都酒店②、文锦渡客运站南、文锦渡口岸、北斗总站,北斗总站、文锦渡口岸、丽都酒店②、金城大厦②、湖贝地铁站、京鹏大厦、罗湖区委、螺岭、翠竹苑、翠竹万家、康宁医院、田贝地铁站、翠竹大厦、松泉公寓、金威啤酒街、东昌北、金稻田路口、布心山庄、戒毒所、理想新城、华港新村、绿景山庄、草埔村口、草埔地铁站①、草埔地铁站总站
3,水库总站、水库新村①、竹园宾馆②、留医部②、东门中①、东门②、门诊部②、人民桥、地王大厦、新闻大厦、兴华宾馆东、上海宾馆、田面、福华新村、岗厦地铁站、会展中心地铁站、卓越时代广场、购物公园地铁站、购物公园总站,购物公园总站、购物公园地铁站、卓越时代广场、会展中心地铁站、岗厦地铁站、福华新村、福田中学、田面、上海宾馆、兴华宾馆东、新闻大厦、地王大厦、人民桥、门诊部②、东门②、东门中①、留医部①、竹园宾馆、水库新村、水库总站
4,银湖汽车站总站、齐明别墅、体育馆东、计生中心、荔园小学、市总工会、兴华宾馆西、上海宾馆东、田面、福华新村、岗厦村、高训大厦、福民新村、福民公安小区、福田水围村、益田花园、益田村、市文化创意园、石厦南、石厦南总站,石厦南总站、石厦南、市文化创意园、妇幼保健院、益田村、益田花园、福田水围村、福民公安小区、福民新村、高训大厦、岗厦村、彩福大厦、岗厦北地铁站②、田面、上海宾馆东、兴华宾馆西、市总工会、荔园小学、计生中心、体育馆东、银湖汽车站①、银湖汽车站总站
5,银湖总站、银湖汽车站①、泥岗村①、红岭泥岗立交、市检察院②、园岭地铁站、桂园中学、笋岗桥、儿童公园①、东门中②、东门⑤、金城大厦②、丽都酒店②、春风万佳②、文锦渡客运站南、文锦渡口岸、北斗总站,北斗总站、文锦渡口岸、文锦中学、春风万佳②、丽都酒店①、金城大厦②、东门⑤、东门中②、儿童公园①、笋岗桥、桂园中学、园岭地铁站、市检察院①、红岭泥岗立交、泥岗村①、深中泥岗分校、银湖汽车站①、银湖总站
7,丰泽湖山庄总站、民乐地铁站、福田党校、笔架山水厂、市救助站、银湖汽车站②、体育馆东、计生中心临时站、少儿图书馆、红岭地铁站、荔枝公园②、大剧院、骨科医院、蔡屋围新七坊、都市名苑、金威大厦、罗湖小学②、人民南地铁站、火车站,火车站、人民南地铁站、罗湖小学②、金威大厦、都市名苑、蔡屋围新七坊、骨科医院、大剧院、荔枝公园②、少儿图书馆、计生中心临时站、体育馆东、银湖汽车站①、市救助站、笔架山水厂、梅龙天桥、丰泽湖山庄总站
8,六约新村总站、六约新村、深坑工业区、振业城西、深坑居民小组、金银坑、丹竹头地铁站、大芬地铁站①、龙珠花园②、宝丽路口、粤宝、章輋村、青湖山庄、清水河仓库、清水河、武警医院②、红岗西村、红岭泥岗立交、友谊医院、八卦路、劳动就业大厦、计生中心、荔园小学、市总工会、新闻大厦、红岭南路①、鹿丹村、金威大厦、穿孔桥、渔民村、火车站西广场公交总站,火车站西广场公交总站、渔民村、穿孔桥、金威大厦、都市名苑、蔡屋围新七坊、骨科医院、新闻大厦、市总工会、荔园小学、计生中心、劳动就业大厦、八卦路、八卦岭社康中心、友谊医院、红岭泥岗立交、红岗西村、武警医院①、清水河、清水河仓库、青湖山庄、章輋村、粤宝、宝丽路口、深圳东站①、龙珠花园、大芬地铁站①、丹竹头地铁站、金银坑、振业城西、深坑工业区、六约新村、六约新村总站
高峰专线29号,六约新村总站、六约新村、深坑工业区、振业城西、深坑居民小组、金银坑、丹竹头地铁站、左庭右院①、石芽岭公园、布龙立交、大世纪花园、布吉天虹、布吉中学、森鑫源学校、金沙花园、东升学校、莲花山庄、德福花园、钱排村、德兴花园、章輋村、青湖山庄、清水河仓库、清水河、武警医院②、红岗西村、红岭泥岗立交、市检察院②、园岭新村、计生中心临时站、荔园小学、市总工会、兴华宾馆西、上海宾馆、田面、福华新村、岗厦地铁站、会展中心地铁站、信息枢纽大厦、福田高铁站,福田高铁站、卓越时代广场、会展中心地铁站、岗厦地铁站、福华新村、福田中学、田面、上海宾馆、兴华宾馆西、市总工会、荔园小学、计生中心临时站、笋岗八卦路口②、市检察院②、红岭泥岗立交、红岗西村、武警医院①、清水河、清水河仓库、青湖山庄、章輋村、德兴花园、钱排村、德福花园、莲花山庄、东升学校、金沙花园、森鑫源学校、布吉中学、布吉天虹、大世纪花园、布龙立交、石芽岭公园、布澜路口、丹竹头地铁站、金银坑、振业城西、深坑工业区、六约新村、六约新村总站
10,黄埔雅苑公交总站、黄埔雅苑、儿童医院、中心书城北、关山月美术馆②、莲花二村②、花卉世界①、华新村、圣廷苑酒店、妇儿医院、少儿图书馆、荔枝公园①、地王大厦、人民桥、门诊部①、湖贝地铁站、京鹏大厦、冶金大厦、黄贝岭地铁站④、黄贝岭、罗湖体委、东湖公园南门总站,东湖公园南门总站、黄贝岭、黄贝岭地铁站①、冶金大厦、京鹏大厦、湖贝地铁站、门诊部①、人民桥、地王大厦、荔枝公园①、少儿图书馆、妇儿医院、圣廷苑酒店、华新村、花卉世界①、莲花二村②、关山月美术馆②、中心书城北、儿童医院、黄埔雅苑、黄埔雅苑公交总站
11,紫薇阁总站、景田北、监控中心、景新花园②、北大医院②、莲花北村①、彩田村①、公交大厦、莲花一村、笔架山公园、市二医院①、体育馆①、笋岗八卦路口②、园岭新村、罗湖税务局②、桂园中学、笋岗桥、深圳中学、晒布路、东门②、金城大厦②、阳光酒店、金光华广场、国贸,国贸、东门②、东门中①、儿童公园①、笋岗桥、桂园中学、罗湖税务局②、园岭新村、笋岗八卦路口②、体育馆①、市二医院①、笔架山公园、莲花一村、公交大厦、彩田村①、莲花北村①、北大医院②、景新花园②、监控中心、景田北、紫薇阁总站
12,福田农批市场总站（下梅林总站）、福田农批市场、下梅林市场②、景鹏大厦、北大医院②、莲花北村①、彩田村①、公交大厦、莲花一村、笔架山公园、市二医院①、华新村临时站、圣廷苑酒店、妇儿医院、荔园小学、市总工会、市委、地王大厦、人民桥、门诊部②、国贸、罗湖小学②、火车站,火车站、罗湖小学②、国贸、门诊部②、人民桥、地王大厦、市委、市总工会、荔园小学、妇儿医院、圣廷苑酒店、华新村临时站、市二医院①、笔架山公园、莲花一村、公交大厦、彩田村①、莲花北村①、北大医院②、景鹏大厦、下梅林市场、福田农批市场、福田农批市场总站（下梅林总站）
13,宁水花园总站、碧波花园、天井湖、荷花市场、华丽环岛、木头龙、儿童公园①、笋岗桥、桂园中学、帝豪酒店②、建设集团、少儿图书馆、妇儿医院、群星广场、华新村、海外装饰大厦②、上海宾馆、华强南、上步码头总站,上步码头总站、华强南、上海宾馆、海外装饰大厦②、华新村、群星广场、妇儿医院、少儿图书馆、建设集团、帝豪酒店②、桂园中学、笋岗桥、儿童公园①、木头龙、华丽环岛、荷花市场、天井湖、碧波花园、宁水花园总站
14,北斗总站、北斗小学、文锦中学、春风万佳②、丽都酒店①、金光华广场、金威大厦、都市名苑、蔡屋围新七坊、骨科医院、红岭岁宝、上步小学、新城市广场、爱华市场、南园中、中医院、中大八院、公汽大楼、福华新村、彩福大厦、武警支队、关山月美术馆②、莲花山公园①、莲花山总站,莲花山总站、商报社、北大医院②、莲花北村①、彩田村①、公交大厦、莲花中学、武警支队、福华新村、公汽大楼、中大八院、中医院、南园中、爱华市场、新城市广场、上步小学、巴丁街、骨科医院、蔡屋围新七坊、都市名苑、金威大厦、金光华广场、丽都酒店②、春风万佳②、文锦中学、北斗小学、北斗总站
17,水库总站、水库新村②、怡景花园、荷花市场、华丽环岛、黄贝派出所、凤凰街、京鹏大厦、湖贝地铁站、金城大厦②、金光华广场、罗湖小学、人民南地铁站、火车站,火车站、人民南地铁站、罗湖小学、金光华广场、金城大厦②、东门市场、湖贝中路、罗湖交警大队、凤凰街、黄贝派出所、怡景小学、荷花市场、怡景花园、水库新村、水库总站
18,草埔地铁站总站、草埔地铁站⑧、独树村、泥岗桥、田心村、笋岗村牌坊、笋岗街道办、罗湖人才市场、笋岗仓库、西湖宾馆、振业大厦、宝安南路、金威大厦、穿孔桥、渔民村、火车站西广场公交总站,火车站西广场公交总站、渔民村、穿孔桥、金威大厦、宝安南路、振业大厦、深港豪苑、西湖宾馆、笋岗仓库、罗湖人才市场、笋岗街道办、笋岗村牌坊、田心村、红岗花园、泥岗桥、独树村③、草埔地铁站①、草埔地铁站总站
19,桃源村总站、桃源村、鼎胜山邻、新屋村、龙辉花园①、珠光村①、桃源文体中心、珠光北路、西丽劳力市场、西丽法庭②、西丽社区②、茶光①、松坪山、英伦名苑、大冲②、科技园②、深大北门②、深圳大学、桂庙新村、海雅百货、佳嘉豪苑、创业路东、海岸城、南山中心区公交总站,南山中心区公交总站、海岸城、创业路东、佳嘉豪苑、海雅百货、桂庙新村、深圳大学、深大北门②、科技园②、大冲②、英伦名苑、松坪山、茶光①、西丽社区②、桃源文体中心、珠光村①、龙辉花园①、新屋村、鼎胜山邻、桃源村、桃源村总站
21,紫薇阁总站、景田北、监控中心、妇儿大厦、景龙小学、鲁班大厦②、市政大厦、香蜜二村、香梅深南路口、香蜜湖①、深南香蜜立交②、深航大厦①、竹子林①、园博园①、侨城东地铁站、何香凝美术馆①、世界之窗①、白石洲①、大冲②、科技园②、深大北门②、荔香公园、南山公安分局、中山公园东门、南山农批市场、中山园、同乐学校、同乐村、同乐村总站（中山园停车场）,同乐村总站（中山园停车场）、同乐村、同乐学校、中山园、南山农批市场、中山公园东门、南山公安分局、荔香公园、深大北门②、科技园②、大冲②、白石洲①、世界之窗①、何香凝美术馆、锦绣中华①、侨城东地铁站、园博园①、竹子林①、深航大厦①、招商银行大厦①、深南香蜜立交②、香梅深南路口、香蜜二村、市政大厦①、景龙小学、妇儿大厦、监控中心、景田北、紫薇阁总站
22,荔山工业园总站、荔山工业园、万豪月半山、龙瑞佳园、龙瑞佳园天桥、蛇口港交警大队、蛇口港地铁站、海上世界南、南海玫瑰园西、南海玫瑰园东、蛇口广场、南山妇幼保健院、蛇口戏院、蛇口汽车站、湾厦村、育才二中、爱榕园、兰园、南门一坊、荔秀文化街、东滨路中、城市山林东、南山村、南山村北、南园村、华联花园、南山市场①、田厦村、南贸市场、南新深南天桥②、南山公安分局、中山公园东门、南山农批市场、中山园、同乐学校、同乐村、同乐村总站（中山园停车场）,同乐村总站（中山园停车场）、同乐村、同乐学校、中山园、南山农批市场、中山公园东门、南山公安分局、南新深南天桥②、南贸市场、田厦村、南山市场①、华联花园、南园村、南山村北、南山村、城市山林东、东滨路中、荔秀文化街、南门一坊、兰园、爱榕园、育才二中、湾厦村、蛇口汽车站、蛇口戏院、南山妇幼保健院、蛇口广场、南海玫瑰园东、南海玫瑰园西、海上世界南、蛇口港地铁站、蛇口港交警大队、龙瑞佳园天桥、龙瑞佳园、万豪月半山、荔山工业园、荔山工业园总站
23,宁水花园总站、碧波花园、天井湖、怡景花园、水库新村、水库、布心花园、市慢病防治中心、君逸华府②、水贝地铁站、泥岗桥、红岗花园、宝安北路口、红岭泥岗立交、市检察院②、建设集团、荔枝公园②、红岭南路②、巴丁街、上步小学、新城市广场、爱华市场、南园中、华强南、赤尾天桥、岗边村①、福滨新村①、皇岗口岸,皇岗口岸、福滨新村①、岗边村①、赤尾天桥、华强南、兴华宾馆西、市委、大剧院、荔枝公园②、建设集团、市检察院①、红岭泥岗立交、宝安北路口②、红岗花园、泥岗桥、翠竹北、君逸华府、市慢病防治中心、水库、水库新村②、怡景花园、天井湖、碧波花园、宁水花园总站
