#,code,price,start_time,end_time,start_station_id,end_station_id
1,881000497,7.00,2024-01-05 15:49:54,2024-01-05 15:51:54,71,65
2,881000497,9.00,2023-04-19 13:47:58,2023-04-19 14:11:58,103,217
3,881000497,9.00,2024-02-04 18:40:45,2024-02-04 18:41:45,115,46
4,881000497,5.00,2023-11-11 16:59:39,2023-11-11 17:54:39,197,229
5,881000497,10.00,2023-10-18 13:45:40,2023-10-18 14:42:40,232,207
6,881002757,10.00,2023-08-12 13:41:56,2023-08-12 14:15:56,190,138
7,881002757,11.00,2023-09-11 16:45:05,2023-09-11 17:16:05,207,265
8,881002757,11.00,2023-05-12 15:34:20,2023-05-12 16:22:20,237,19
9,881002757,6.00,2023-06-08 08:37:48,2023-06-08 09:28:48,294,120
10,881003706,6.00,2023-01-15 17:51:12,2023-01-15 18:39:12,74,84
11,881003706,11.00,2023-06-15 17:43:43,2023-06-15 18:04:43,108,234
12,881003706,12.00,2023-04-22 12:40:23,2023-04-22 13:27:23,111,240
13,881003706,8.00,2023-09-25 17:55:38,2023-09-25 18:23:38,202,197
14,881003706,4.00,2024-01-15 22:33:46,2024-01-15 22:49:46,254,73
15,881003706,4.00,2023-02-16 09:58:59,2023-02-16 10:20:59,284,136
16,881004419,8.00,2023-09-14 09:55:19,2023-09-14 10:09:19,53,265
17,881004419,4.00,2023-08-21 08:31:18,2023-08-21 09:15:18,59,8
18,881004419,10.00,2023-11-14 10:53:38,2023-11-14 11:35:38,96,92
19,881004419,7.00,2023-04-07 07:44:04,2023-04-07 08:33:04,185,246
20,881004419,8.00,2023-11-25 19:52:30,2023-11-25 20:20:30,187,37
21,881004419,6.00,2023-02-28 07:59:41,2023-02-28 08:43:41,220,67
22,881004419,7.00,2023-04-06 18:31:05,2023-04-06 19:13:05,246,70
23,881005794,5.00,2024-02-07 21:31:16,2024-02-07 21:51:16,244,276
24,881005954,6.00,2024-02-10 13:57:17,2024-02-10 14:36:17,4,61
25,881005954,6.00,2024-01-31 10:51:36,2024-01-31 11:20:36,9,157
26,881005954,11.00,2023-12-30 06:32:04,2023-12-30 07:01:04,10,244
27,881005954,6.00,2023-03-12 07:42:14,2023-03-12 08:25:14,293,115
28,881007374,8.00,2024-02-03 15:40:08,2024-02-03 16:13:08,3,60
29,881007547,3.00,2023-11-08 06:32:14,2023-11-08 07:22:14,43,158
30,881007547,5.00,2023-10-30 13:31:30,2023-10-30 14:22:30,293,113
31,881007807,7.00,2023-11-09 13:37:34,2023-11-09 14:26:34,190,155
32,881007807,6.00,2023-09-09 18:49:32,2023-09-09 19:33:32,226,143
33,881007807,8.00,2023-12-26 10:57:45,2023-12-26 11:27:45,238,72
34,881007807,6.00,2023-09-04 13:34:28,2023-09-04 14:03:28,246,209
35,881007807,12.00,2023-05-23 10:46:15,2023-05-23 11:05:15,250,265
36,881010820,9.00,2024-01-11 20:39:37,2024-01-11 21:22:37,38,97
37,881010820,3.00,2023-12-12 17:55:23,2023-12-12 18:13:23,157,144
38,881011031,2.00,2023-11-21 06:45:11,2023-11-21 06:45:11,47,251
39,881011031,3.00,2023-10-12 16:58:36,2023-10-12 17:50:36,123,271
40,881011031,4.00,2024-03-10 10:54:27,2024-03-10 11:40:27,182,126
41,881011348,8.00,2023-06-03 16:35:08,2023-06-03 17:02:08,64,37
42,881011348,6.00,2023-02-21 14:55:20,2023-02-21 15:48:20,155,195
43,881011348,10.00,2023-08-27 08:34:17,2023-08-27 09:25:17,298,125
44,881011512,7.00,2024-01-19 16:56:31,2024-01-19 17:08:31,54,1
45,881011512,11.00,2023-05-26 06:43:22,2023-05-26 07:16:22,75,112
46,881011512,5.00,2023-09-16 11:46:16,2023-09-16 12:11:16,96,238
47,881011512,5.00,2024-03-02 17:57:42,2024-03-02 18:56:42,129,255
48,881011512,9.00,2023-07-07 16:42:22,2023-07-07 16:55:22,297,162
49,881012911,8.00,2023-05-21 13:35:40,2023-05-21 13:45:40,3,292
50,881012911,6.00,2023-01-08 20:30:45,2023-01-08 20:36:45,101,211
51,881012911,3.00,2023-09-29 08:45:16,2023-09-29 09:26:16,154,68
52,881012911,8.00,2024-01-12 10:46:21,2024-01-12 11:33:21,201,206
53,881012911,6.00,2023-08-22 09:37:22,2023-08-22 10:01:22,206,274
54,881012911,11.00,2023-10-28 09:42:45,2023-10-28 10:00:45,253,204
55,881013541,11.00,2024-02-24 17:46:36,2024-02-24 18:34:36,43,219
