station1,station2,price
上塘,上塘,2
上塘,上屋,5
上塘,上川,6
上塘,上李朗,5
上塘,上梅林,4
上塘,上水径,4
上塘,上沙,5
上塘,上芬,3
上塘,下梅林,4
上塘,下水径,5
上塘,下沙,5
上塘,世界之窗,6
上塘,东纵纪念馆,9
上塘,东角头,7
上塘,中大,7
上塘,中山公园,6
上塘,临海,6
上塘,丹竹头,6
上塘,五和,3
上塘,人民南,5
上塘,仙湖路,6
上塘,会展中心,5
上塘,会展城,9
上塘,体育中心,5
上塘,侨城东,6
上塘,侨城北,6
上塘,侨香,5
上塘,元芬,3
上塘,光明,7
上塘,光明大街,6
上塘,光雅园,4
上塘,八卦岭,5
上塘,公明广场,7
上塘,六和,9
上塘,六约,6
上塘,六约北,6
上塘,兴东,5
上塘,兴围,7
上塘,农林,5
上塘,冬瓜岭,4
上塘,凉帽山,5
上塘,凤凰城,6
上塘,前海湾,6
上塘,前湾,7
上塘,前湾公园,7
上塘,华为,4
上塘,华侨城,6
上塘,华南城,6
上塘,华强北,5
上塘,华强南,5
上塘,华强路,5
上塘,华新,5
上塘,南光,7
上塘,南坑,4
上塘,南头古城,6
上塘,南山,7
上塘,南山书城,7
上塘,南油,7
上塘,南油西,7
上塘,南约,8
上塘,南联,8
上塘,双拥街,6
上塘,双龙,8
上塘,合水口,7
上塘,吉祥,8
上塘,同乐南,6
上塘,后亭,8
上塘,后海,7
上塘,后瑞,7
上塘,向西村,6
上塘,四海,7
上塘,四联,7
上塘,回龙埔,8
上塘,园岭,5
上塘,固戍,7
上塘,国展,9
上塘,国展北,9
上塘,国展南,9
上塘,国贸,5
上塘,圳美,7
上塘,坂田,4
上塘,坂田北,4
上塘,坑梓,10
上塘,坪山,9
上塘,坪山中心,9
上塘,坪山围,9
上塘,坪山广场,9
上塘,坪洲,6
上塘,坪环,9
上塘,坳背,7
上塘,塘坑,6
上塘,塘尾,8
上塘,塘朗,3
上塘,大剧院,5
上塘,大学城,4
上塘,大新,7
上塘,大梅沙,9
上塘,大芬,5
上塘,大运,7
上塘,大运中心,7
上塘,太子湾,7
上塘,太安,5
上塘,妈湾,7
上塘,孖岭,4
上塘,安托山,5
上塘,官田,5
上塘,宝体,6
上塘,宝华,6
上塘,宝安,7
上塘,宝安中心,6
上塘,宝安客运站,6
上塘,宝田一路,6
上塘,宝龙,8
上塘,宝龙同乐,9
上塘,小梅沙,9
上塘,少年宫,4
上塘,尚景,8
上塘,岗厦,5
上塘,岗厦北,5
上塘,岗头,4
上塘,嶂背,8
上塘,左炮台东,7
上塘,市民中心,5
上塘,布吉,5
上塘,布心,6
上塘,平峦山,6
上塘,平湖,6
上塘,怀德,8
上塘,怡景,6
上塘,怡海,7
上塘,愉园,8
上塘,技术大学,10
上塘,文锦,6
上塘,新和,9
上塘,新塘围,8
上塘,新安,6
上塘,新安公园,6
上塘,新秀,6
上塘,晒布,5
上塘,景田,5
上塘,木古,6
上塘,木棉湾,5
上塘,机场,8
上塘,机场东,7
上塘,机场北,8
上塘,杨美,4
上塘,松元厦,5
上塘,松岗,8
上塘,松岗公园,8
上塘,桂湾,6
上塘,桃园,6
上塘,桃源村,5
上塘,桥头,8
上塘,桥头西,8
上塘,梅景,4
上塘,梅村,4
上塘,梅林关,3
上塘,梦海,7
上塘,梧桐山南,7
上塘,楼村,7
上塘,横岗,7
上塘,民乐,3
上塘,民治,3
上塘,水湾,7
上塘,水贝,5
上塘,永湖,7
上塘,沙井,9
上塘,沙壆,9
上塘,沙头角,7
上塘,沙尾,5
上塘,沙田,10
上塘,泥岗,5
上塘,洪浪北,5
上塘,洪湖,5
上塘,流塘,6
上塘,海上世界,7
上塘,海上田园东,9
上塘,海上田园南,9
上塘,海山,7
上塘,海月,7
上塘,深云,6
上塘,深圳北,2
上塘,深圳湾公园,6
上塘,深外高中,8
上塘,深大,7
上塘,深大南,7
上塘,深康,5
上塘,深湾,6
上塘,深理工,7
上塘,清湖,3
上塘,清湖北,3
上塘,湖贝,6
上塘,湾厦,7
上塘,溪头,8
上塘,灵芝,6
上塘,燕南,5
上塘,燕子湖,9
上塘,爱联,7
上塘,牛湖,5
上塘,珠光,5
上塘,甘坑,5
上塘,田心,10
上塘,田贝,5
上塘,留仙洞,5
上塘,登良,7
上塘,白石洲,6
上塘,白石龙,3
上塘,百鸽笼,5
上塘,皇岗口岸,5
上塘,皇岗村,5
上塘,益田,5
上塘,盐田墟,8
上塘,盐田港西,8
上塘,盐田路,8
上塘,盛平,8
上塘,石井,10
上塘,石厦,5
上塘,石芽岭,6
上塘,碧头,8
上塘,碧海湾,7
上塘,福保,5
上塘,福围,8
上塘,福民,5
上塘,福永,8
上塘,福海西,8
上塘,福田,5
上塘,福田口岸,5
上塘,禾花,6
上塘,科学公园,7
上塘,科学馆,5
上塘,科苑,7
上塘,竹子林,5
上塘,竹村,3
上塘,笋岗,5
上塘,粤海门,7
上塘,红山,2
上塘,红岭,5
上塘,红岭北,5
上塘,红岭南,5
上塘,红树湾,6
上塘,红树湾南,6
上塘,红花山,7
上塘,罗湖,6
上塘,罗湖北,5
上塘,翠竹,5
上塘,翰岭,4
上塘,翻身,6
上塘,老街,5
上塘,花果山,7
上塘,茜坑,4
上塘,茶光,5
上塘,草埔,5
上塘,荔林,7
上塘,荔湾,7
上塘,荷坳,7
上塘,莲塘,7
上塘,莲塘口岸,6
上塘,莲花北,4
上塘,莲花村,4
上塘,莲花西,5
上塘,薯田埔,8
上塘,蛇口港,7
上塘,西丽,5
上塘,西丽湖,5
上塘,西乡,7
上塘,西乡桃源,7
上塘,观澜,4
上塘,观澜湖,5
上塘,贝尔路,4
上塘,购物公园,5
上塘,赤尾,5
上塘,赤湾,7
上塘,车公庙,5
上塘,通新岭,5
上塘,钟屋南,7
上塘,铁路公园,7
上塘,银湖,4
上塘,锦龙,9
上塘,长圳,6
上塘,长岭陂,3
上塘,长湖,4
上塘,长龙,5
上塘,阳台山东,4
上塘,雅宝,4
上塘,雪象,4
上塘,香梅,5
上塘,香梅北,5
上塘,香蜜,5
上塘,香蜜湖,5
上塘,马安山,9
上塘,高新南,7
上塘,高新园,6
上塘,鲤鱼门,6
上塘,鸿安围,8
上塘,鹿丹村,5
上塘,黄木岗,5
上塘,黄田,7
上塘,黄贝岭,6
上塘,黄阁坑,8
上塘,龙东,8
上塘,龙井,5
上塘,龙华,2
上塘,龙园,8
上塘,龙城公园,8
上塘,龙城广场,8
上塘,龙胜,2
上屋,上塘,5
上屋,上屋,2
上屋,上川,7
上屋,上李朗,7
上屋,上梅林,6
上屋,上水径,6
上屋,上沙,7
上屋,上芬,4
上屋,下梅林,6
上屋,下水径,6
