id,chinese_name,name,district,intro
1,爱联,Ailian,龙岗区,爱联站（Ailian Station）是中国广东省深圳市境内地铁车站，位于中国广东省深圳市龙岗区境内，是深圳市地铁集团有限公司管理运营的地铁车站，也是深圳地铁3号线中间站 。爱联站于2010年12月28日投用运营，通行深圳地铁3号线 。据2023年3月深圳地铁官网显示，爱联站共开通4个出入口，工作日运营时间为06:14至次日00:03，休息日运营时间为06:17至次日00:02，节假日运营时间为06:17至次日01:02 。
2,机场,Airport,宝安区,机场站是深圳地铁11号线的一座车站，位于中国广东省深圳市深圳宝安国际机场航站楼及交通中心北侧为，在T3航站楼地下，在航站楼南侧为机场交通中心，交通中心南侧规划为景观空地。乘客可出站通过通道换乘穗深城际铁路深圳机场站。机场站在11号线上编号是9，该站为地下站。机场站于2016年6月28日正式启用。
3,机场东,Airport East,宝安区,机场东站是深大城际深圳段的一个站点，位于深圳宝安国际机场A、B航站楼东侧机场四路下方。机场东片区将规划为大型交通枢纽，枢纽内由东向西依次包含既有深圳地铁1号线、深圳地铁12号线、规划地铁20/26号线、深大城际、深茂铁路、APM陆侧、A/B航站楼等主要交通设施。 
4,机场北,Airport North,宝安区,机场北站（Airport North Station），位于中国广东省深圳市宝安区境内，是深圳市地铁集团有限公司管理运营的地铁车站，也是深圳地铁11号线与深圳地铁20号线的换乘站 。机场北站于2016年6月28日投用运营，通行深圳地铁11号线；于2021年12月28日通行深圳地铁20号线 。据2022年8月深圳地铁官网显示，机场北站共开通1个出入口，工作日运营时间为06:05-次日00:08 。
5,安托山,Antuo Hill,福田区,安托山站（Antuo Hill Station）是中国广东省深圳市境内地铁车站，位于中国广东省深圳市福田区境内，是深圳市地铁集团有限公司管理运营的地铁车站，是深圳地铁2号线和深圳地铁7号线的换乘站，该站为地下站。 安托山站2号线于2011年6月28日开通，7号线于2016年10月28日开通 。据2023年7月深圳地铁官网数据，安托山站为地下车站，设有5个出入口。
6,坳背,Aobei,龙岗区,坳背站（Aobei Station），位于中国广东省深圳市龙岗区境内，是深圳市地铁集团有限公司管理运营的地铁车站，也是深圳地铁14号线的途经站点。坳背站于2021年4月20日主体结构封顶 ；于2022年10月28日通行深圳地铁14号线 。据2023年7月深圳地铁官网数据，坳背站共开放4个出入口，工作日和双休日运营时间为06:24-23:54，节假日运营时间为06:24-次日00:54 。坳背站全长500.2米，宽45.8米，总建筑面积约36622平方米 。
7,八卦岭,Bagualing,福田区,八卦岭站位于中国广东省深圳市境内，也是深圳地铁6号线和深圳地铁7号线的换乘车站，位于八卦三路与八卦五街的交叉路口，车站主体沿八卦三路呈东西向布置 。八卦岭站为地下车站，现共设有3个出入口。
8,百鸽笼,Baigelong,龙岗区,百鸽笼站是中国广东省深圳市境内地铁车站，位于深圳市龙岗区，是深圳地铁5号线和深圳地铁17号线（暂未开通）的站点，为远期小交路折返站位于龙岗区企岭北路东侧，在规划翔鸽路、创富南路、荣华路（暂未使用）的交口，沿规划的翔鸽路南北布置。车站南端为高帆家私厂，西侧依次为布吉镇经济发展有限公司、吉隆五金厂、联兴电子厂、罗岗工业区管理处，东侧是金星玻璃有限公司、工厂宿舍等旧村和旧工业区。该站为地下站。
9,白石龙,Baishilong,龙华区,白石龙站是中国广东省深圳市境内地铁车站，也是深圳地铁4号线上一座运营中的车站，位于龙华区龙华新市镇民塘路中的绿化带上方，呈南北向布置。该站为高架站。 未来将可换乘深圳地铁21号线，深圳地铁27号线，21，27号线为地下站。
10,白石洲,Baishizhou,南山区,白石洲站（Baishizhou Station）是中国广东省深圳市境内地铁车站，位于中国广东省深圳市南山区境内，是深圳市地铁集团有限公司管理运营的地铁车站，也是深圳地铁1号线的途经站点 。该站是地下车站。白石洲站于2009年9月28日投用运营，通行深圳地铁1号线 。据2022年8月深圳地铁官网显示，白石洲站共开通4个出入口，工作日运营时间为06:01-23:36 。
